,alpha,density,Run,half_time,percolation_system,segregation_coefficient,stopping_step,total_avg_cluster_size,size,pop_weights,homophily,fixed_areas_pc,cluster_threshold,stopping_threshold,stats,server
191,0.97,0.9299999999999999,191,1.1014283683907737,True,0.6106151111111111,22,137.1,25,"(0.6, 0.4)",5,0.0,4,5,True,False
192,0.97,0.9299999999999999,192,2.5082641089597986,True,0.6398222222222222,29,124.76666666666668,25,"(0.6, 0.4)",5,0.0,4,5,True,False
193,0.97,0.9299999999999999,193,1.7654232601796793,True,0.5850035555555555,38,229.5,25,"(0.6, 0.4)",5,0.0,4,5,True,False
194,0.97,0.9299999999999999,194,1.0,True,0.8207679999999999,27,161.8,25,"(0.6, 0.4)",5,0.0,4,5,True,False
195,0.97,0.94,195,1.0,True,0.6302542222222222,23,194.4,25,"(0.6, 0.4)",5,0.0,4,5,True,False
196,0.97,0.94,196,1.0,True,0.6000568888888889,23,239.6,25,"(0.6, 0.4)",5,0.0,4,5,True,False
197,0.97,0.94,197,1.0,True,0.5568497777777778,15,148.9,25,"(0.6, 0.4)",5,0.0,4,5,True,False
198,0.97,0.94,198,1.0,True,0.8784,18,310.20000000000005,25,"(0.6, 0.4)",5,0.0,4,5,True,False
199,0.97,0.94,199,1.0,True,0.6457368888888889,23,247.20000000000002,25,"(0.6, 0.4)",5,0.0,4,5,True,False
200,0.97,0.95,200,1.534346731865766,True,0.534872,29,229.2,25,"(0.6, 0.4)",5,0.0,4,5,True,False
201,0.97,0.95,201,1.1295952547099115,True,0.5964595555555555,21,232.39999999999998,25,"(0.6, 0.4)",5,0.0,4,5,True,False
202,0.97,0.95,202,1.0,True,0.5748408888888888,17,238.2,25,"(0.6, 0.4)",5,0.0,4,5,True,False
203,0.97,0.95,203,1.0,True,0.734768,14,236.20000000000002,25,"(0.6, 0.4)",5,0.0,4,5,True,False
204,0.97,0.95,204,1.0,True,0.7099271111111112,24,117.4,25,"(0.6, 0.4)",5,0.0,4,5,True,False
205,0.97,0.96,205,1.0,True,0.6849315555555555,19,155.9,25,"(0.6, 0.4)",5,0.0,4,5,True,False
206,0.97,0.96,206,1.2859538637752141,True,0.818568,15,270.0,25,"(0.6, 0.4)",5,0.0,4,5,True,False
207,0.97,0.96,207,1.2036242646523314,True,0.7112088888888889,21,264.6,25,"(0.6, 0.4)",5,0.0,4,5,True,False
